经度索引,纬度索引,count
93,78,153
78,17,735
101,36,709
26,51,399
42,12,1276
117,23,225
30,57,128
28,27,134
63,68,160
118,26,73
44,36,766
86,26,212
29,67,789
76,4,36
127,48,27
128,38,13
114,52,419
51,31,34
44,80,213
63,75,176
100,58,208
60,1,9
125,51,5
26,18,2
21,39,2
62,68,3
99,16,19
20,55,18
122,33,1
6,0,79
75,73,25
53,65,34
38,16,226
21,16,2
124,33,774
28,46,1
42,52,30
16,0,1
82,10,1
85,72,1
30,47,2
31,81,751
38,56,1022
52,62,12727
58,20,9290
62,57,30805
65,35,392236
68,44,636292
69,38,2542071
69,50,156240
72,55,3168
73,29,601778
74,52,42625
77,51,304161
81,49,131337
83,40,1818699
86,34,139326
117,44,4183
28,42,2
55,52,152
58,32,3715
79,24,1229
79,50,40347
92,30,7591
107,64,4403
44,9,413
85,7,2368
87,19,1205
15,19,341
36,73,512
20,15,745
93,0,48
63,62,610
27,50,583
28,12,140
58,67,86
77,13,609
101,35,461
87,43,671
113,61,36
114,23,64
118,27,55
96,42,497
113,75,1
31,32,48
86,73,83
19,80,15
73,9,20
82,22,70
106,48,492
32,18,19
64,1,379
80,77,9
55,79,65
83,5,83
1,79,4
40,31,5895
111,69,40
97,27,50
43,55,3
27,16,8
29,33,172
61,20,29
118,38,33
79,70,108
98,27,26
98,0,556
21,49,30
26,13,64
110,31,1
107,58,12
105,3,8
61,16,39
116,74,5
46,25,18
106,57,7
63,34,53373
63,41,3570
64,17,4203
64,63,3380
72,37,1927492
73,46,841761
81,46,770038
91,27,2840
51,13,3233
57,61,8147
68,71,883
108,53,271
99,2,300
101,31,64
125,45,625
27,66,889
40,32,8063
38,12,182
42,35,1186
88,65,51
48,11,1
73,14,3
86,1,103
101,28,140
107,82,97
14,38,136
105,48,73
97,2,101
124,42,67
64,26,136
55,39,415
96,13,6
98,19,1
100,29,2
46,30,29
91,37,127
39,78,851
51,48,84
46,61,406
77,2,23
111,31,5
65,11,35
84,65,1
119,79,5
93,11,29
127,55,3
113,43,1
43,29,11
116,46,1
28,31,12
34,64,1019
35,2,303
51,51,1363
57,43,54430
64,41,27164
66,23,12228
68,26,3816
68,67,11061
69,46,665894
69,55,3556
71,43,3042365
73,40,5134541
79,44,5329347
82,53,206982
84,41,518556
102,32,2292
125,9,484
126,1,1041
29,38,44
32,36,2443
35,76,2482
54,33,101
72,26,2345
116,56,1352
